airport,city,country,iata
"Yeosu Airport",Yeosu,"South Korea",RSU
"Southwest Florida International Airport","Fort Myers","United States",RSW
"Juan Manuel Galvez International Airport",Roatan,Honduras,RTB
"Rotterdam The Hague Airport",Rotterdam,Netherlands,RTM
"King Khalid International Airport",Riyadh,"Saudi Arabia",RUH
"Roland Garros Airport",Saint-Denis,Reunion,RUN
"Rutland Southern Vermont Regional Airport",Rutland,"United States",RUT
"Rovaniemi Airport",Rovaniemi,Finland,RVN
"Rzeszow-Jasionka Airport",Rzeszow,Poland,RZE
"Monsenor Oscar Arnulfo Romero International Airport","San Salvador","El Salvador",SAL
"San Diego International Airport","San Diego","United States",SAN
"Ramon Villeda Morales International Airport","San Pedro Sula",Honduras,SAP
"San Antonio International Airport","San Antonio","United States",SAT
"Savannah/Hilton Head International Airport",Savannah,"United States",SAV
"Istanbul Sabiha Gokcen International Airport",Istanbul,Turkey,SAW
"Santa Barbara Airport","Santa Barbara","United States",SBA
"South Bend International Airport","South Bend","United States",SBN
"San Luis Obispo County Regional Airport","San Luis Obispo","United States",SBP
"Sibu Airport",Sibu,Malaysia,SBW
"Salisbury-Ocean City Wicomico Regional Airport",Salisbury,"United States",SBY
"Sibiu International Airport",Sibiu,Romania,SBZ
"Arturo Merino Benitez International Airport",Santiago,Chile,SCL
"Santiago de Compostela Airport","Santiago de Compostela",Spain,SCQ
"Antonio Maceo International Airport","Santiago de Cuba",Cuba,SCU
"Louisville Muhammad Ali International Airport",Louisville,"United States",SDF
"Sendai Airport",Sendai,Japan,SDJ
"Sandakan Airport",Sandakan,Malaysia,SDK
"Las Americas International Airport","Santo Domingo","Dominican Republic",SDQ
"Seve Ballesteros-Santander Airport",Santander,Spain,SDR
"Santos Dumont Airport","Rio de Janeiro",Brazil,SDU
"Seattle-Tacoma International Airport",Seattle,"United States",SEA
"London Southend Airport",London,"United Kingdom",SEN
"Seychelles International Airport",Mahe,Seychelles,SEZ
"San Francisco International Airport","San Francisco","United States",SFO
"Springfield-Branson National Airport",Springfield,"United States",SGF
"Tan Son Nhat International Airport","Ho Chi Minh City",Vietnam,SGN
"St. George Regional Airport","St. George","United States",SGU
"Shanghai Hongqiao International Airport",Shanghai,China,SHA
"Shenandoah Valley Regional Airport",Staunton,"United States",SHD
"Shenyang Taoxian International Airport",Shenyang,China,SHE
"Sharjah International Airport",Sharjah,"United Arab Emirates",SHJ
"Nanki-Shirahama Airport",Shirahama,Japan,SHM
"Sheridan County Airport",Sheridan,"United States",SHR
"Shreveport Regional Airport",Shreveport,"United States",SHV
"Amilcar Cabral International Airport",Sal,"Cape Verde",SID
"Singapore Changi Airport",Singapore,Singapore,SIN
"Sitka Rocky Gutierrez Airport",Sitka,"United States",SIT
"San Jose International Airport","San Jose","United States",SJC
"Los Cabos International Airport","San Jose del Cabo",Mexico,SJD
"Sarajevo International Airport",Sarajevo,"Bosnia and Herzegovina",SJJ
"Juan Santamaria International Airport","San Jose","Costa Rica",SJO
"San Angelo Regional Airport","San Angelo","United States",SJT
"Luis Munoz Marin International Airport","San Juan","United States",SJU
"Shijiazhuang Zhengding International Airport",Shijiazhuang,China,SJW
"Robert L. Bradshaw International Airport",Basseterre,"Saint Kitts and Nevis",SKB
"Samarkand International Airport",Samarkand,Uzbekistan,SKD
"Thessaloniki Airport",Thessaloniki,Greece,SKG
"Skopje International Airport",Skopje,"North Macedonia",SKP
"Sialkot International Airport",Sialkot,Pakistan,SKT
"Martin Miguel de Guemes International Airport",Salta,Argentina,SLA
"Salt Lake City International Airport","Salt Lake City","United States",SLC
"Salalah Airport",Salalah,Oman,SLL
"Ponciano Arriaga International Airport","San Luis Potosi",Mexico,SLP
"George F. L. Charles Airport",Castries,"Saint Lucia",SLU
"Marechal Cunha Machado International Airport","Sao Luis",Brazil,SLZ
"Sacramento International Airport",Sacramento,"United States",SMF
"Samos International Airport",Samos,Greece,SMI
"Simon Bolivar International Airport","Santa Marta",Colombia,SMR
"John Wayne Airport","Santa Ana","United States",SNA
"Shannon Airport",Shannon,Ireland,SNN
"Adisumarmo International Airport",Surakarta,Indonesia,SOC
"Sofia Airport",Sofia,Bulgaria,SOF
"Southampton Airport",Southampton,"United Kingdom",SOU
"Abraham Lincoln Capital Airport",Springfield,"United States",SPI
"Saipan International Airport",Saipan,"Northern Mariana Islands",SPN
"Wichita Falls Regional Airport","Wichita Falls","United States",SPS
"Split Airport",Split,Croatia,SPU
"Alcantari International Airport",Sucre,Bolivia,SRE
"Ahmad Yani International Airport",Semarang,Indonesia,SRG
"Sarasota Bradenton International Airport",Sarasota,"United States",SRQ
"Deputado Luis Eduardo Magalhaes International Airport",Salvador,Brazil,SSA
"Malabo International Airport",Malabo,"Equatorial Guinea",SSG
"Sharm el-Sheikh International Airport","Sharm el-Sheikh",Egypt,SSH
"St. Cloud Regional Airport","St. Cloud","United States",STC
"Cibao International Airport",Santiago,"Dominican Republic",STI
"St. Louis Lambert International Airport","St. Louis","United States",STL
"Maestro Wilson Fonseca Airport",Santarem,Brazil,STM
"London Stansted Airport",London,"United Kingdom",STN
"Stuttgart Airport",Stuttgart,Germany,STR
"Charles M. Schulz Sonoma County Airport","Santa Rosa","United States",STS
"Cyril E. King Airport","Charlotte Amalie","United States",STT
"Surat Airport",Surat,India,STV
"Henry E. Rohlsen Airport",Christiansted,"United States",STX
"Juanda International Airport",Surabaya,Indonesia,SUB
"Lamezia Terme International Airport","Lamezia Terme",Italy,SUF
"Satu Mare International Airport","Satu Mare",Romania,SUJ
"Sulaymaniyah International Airport",Sulaymaniyah,Iraq,SUL
"Friedman Memorial Airport",Hailey,"United States",SUN
"Nausori International Airport",Suva,Fiji,SUV
"Sioux Gateway Airport","Sioux City","United States",SUX
"Argyle International Airport",Kingstown,"Saint Vincent and the Grenadines",SVD
"Stavanger Airport",Stavanger,Norway,SVG
"Sheremetyevo International Airport",Moscow,Russia,SVO
"Seville Airport",Seville,Spain,SVQ
"Koltsovo Airport",Yekaterinburg,Russia,SVX
"New York Stewart International Airport",Newburgh,"United States",SWF
"Strasbourg Airport",Strasbourg,France,SXB
"Princess Juliana International Airport",Philipsburg,"Sint Maarten",SXM
"Srinagar International Airport",Srinagar,India,SXR
"Sydney Kingsford Smith Airport",Sydney,Australia,SYD
"Syracuse Hancock International Airport",Syracuse,"United States",SYR
"Sanya Phoenix International Airport",Sanya,China,SYX
"Shiraz International Airport",Shiraz,Iran,SYZ
"Sultan Abdul Aziz Shah Airport","Kuala Lumpur",Malaysia,SZB
"Samsun-Carsamba Airport",Samsun,Turkey,SZF
"Salzburg Airport",Salzburg,Austria,SZG
"Shenzhen Bao'an International Airport",Shenzhen,China,SZX
"Solidarity Szczecin-Goleniow Airport",Szczecin,Poland,SZZ
"A.N.R. Robinson International Airport",Scarborough,"Trinidad and Tobago",TAB
"Daniel Z. Romualdez Airport",Tacloban,Philippines,TAC
"Daegu International Airport",Daegu,"South Korea",TAE
"Panglao International Airport",Tagbilaran,Philippines,TAG
"Takamatsu Airport",Takamatsu,Japan,TAK
"General Francisco Javier Mina International Airport",Tampico,Mexico,TAM
"Qingdao Jiaodong International Airport",Qingdao,China,TAO
"Islam Karimov Tashkent International Airport",Tashkent,Uzbekistan,TAS
"Dong Tac Airport","Tuy Hoa",Vietnam,TBB
"Tbilisi International Airport",Tbilisi,Georgia,TBS
"Fua'amotu International Airport",Nuku'alofa,Tonga,TBU
"Tabriz International Airport",Tabriz,Iran,TBZ
"Coronel FAP Carlos Ciriani Santa Rosa International Airport",Tacna,Peru,TCQ
"Jorge Henrich Arauz Airport",Trinidad,Bolivia,TDD
"Lajes Field","Terceira Island",Portugal,TER
"Tenerife North Airport",Tenerife,Spain,TFN
"Tenerife South Airport",Tenerife,Spain,TFS
"Chengdu Tianfu International Airport",Chengdu,China,TFU
"Podgorica Airport",Podgorica,Montenegro,TGD
"Sultan Mahmud Airport","Kuala Terengganu",Malaysia,TGG
"Toncontin International Airport",Tegucigalpa,Honduras,TGU
"Angel Albino Corzo International Airport","Tuxtla Gutierrez",Mexico,TGZ
"Senador Petronio Portella Airport",Teresina,Brazil,THE
"Mehrabad International Airport",Tehran,Iran,THR
"Tirana International Airport",Tirana,Albania,TIA
"Taif International Airport",Taif,"Saudi Arabia",TIF
"Tijuana International Airport",Tijuana,Mexico,TIJ
"Mitiga International Airport",Tripoli,Libya,TIP
"Tirupati Airport",Tirupati,India,TIR
"Tivat Airport",Tivat,Montenegro,TIV
"Roshchino International Airport",Tyumen,Russia,TJM
"Chuuk International Airport",Weno,Micronesia,TKK
"Tokushima Airport",Tokushima,Japan,TKS
"Turku Airport",Turku,Finland,TKU
"Tallahassee International Airport",Tallahassee,"United States",TLH
"Tallinn Airport",Tallinn,Estonia,TLL
"Toulouse-Blagnac Airport",Toulouse,France,TLS
"Ben Gurion International Airport","Tel Aviv",Israel,TLV
"Tampere-Pirkkala Airport",Tampere,Finland,TMP
"Tamworth Regional Airport",Tamworth,Australia,TMW
"Tangier Ibn Battouta Airport",Tangier,Morocco,TNG
"Tainan Airport",Tainan,Taiwan,TNN
"Ivato International Airport",Antananarivo,Madagascar,TNR
"Toledo Express Airport",Toledo,"United States",TOL
"Tromso Airport",Tromso,Norway,TOS
"Toyama Airport",Toyama,Japan,TOY
"Tampa International Airport",Tampa,"United States",TPA
"Taiwan Taoyuan International Airport",Taipei,Taiwan,TPE
"Amado Nervo National Airport",Tepic,Mexico,TPQ
"Trapani Birgi Airport",Trapani,Italy,TPS
"Trondheim Airport",Trondheim,Norway,TRD
"Tauranga Airport",Tauranga,"New Zealand",TRG
"Tri-Cities Regional Airport",Blountville,"United States",TRI
"Juwata International Airport",Tarakan,Indonesia,TRK
"Turin Airport",Turin,Italy,TRN
"Trieste Friuli Venezia Giulia Airport",Trieste,Italy,TRS
"Capitan FAP Carlos Martinez de Pinillos International Airport",Trujillo,Peru,TRU
"Trivandrum International Airport",Thiruvananthapuram,India,TRV
"Bonriki International Airport",Tarawa,Kiribati,TRW
"Tiruchirappalli International Airport",Tiruchirappalli,India,TRZ
"Taipei Songshan Airport",Taipei,Taiwan,TSA
"Treviso Airport",Treviso,Italy,TSF
"Tianjin Binhai International Airport",Tianjin,China,TSN
"Timisoara Traian Vuia International Airport",Timisoara,Romania,TSR
"Townsville Airport",Townsville,Australia,TSV
"Tottori Sand Dunes Conan Airport",Tottori,Japan,TTJ
"Trenton-Mercer Airport",Trenton,"United States",TTN
"Teniente General Benjamin Matienzo International Airport","San Miguel de Tucuman",Argentina,TUC
"Tulsa International Airport",Tulsa,"United States",TUL
"Tunis-Carthage International Airport",Tunis,Tunisia,TUN
"Taupo Airport",Taupo,"New Zealand",TUO
"Tupelo Regional Airport",Tupelo,"United States",TUP
"Tucson International Airport",Tucson,"United States",TUS
"Tabuk Regional Airport",Tabuk,"Saudi Arabia",TUU
"Cherry Capital Airport","Traverse City","United States",TVC
"Magic Valley Regional Airport","Twin Falls","United States",TWF
"Tawau Airport",Tawau,Malaysia,TWU
"Texarkana Regional Airport",Texarkana,"United States",TXK
"Taiyuan Wusu International Airport",Taiyuan,China,TYN
"Tyler Pounds Regional Airport",Tyler,"United States",TYR
"McGhee Tyson Airport",Knoxville,"United States",TYS
"Trabzon Airport",Trabzon,Turkey,TZX
"Kitakyushu Airport",Kitakyushu,Japan,UBJ
"Ubon Ratchathani Airport","Ubon Ratchathani",Thailand,UBP
"Uberlandia Airport",Uberlandia,Brazil,UDI
"Maharana Pratap Airport",Udaipur,India,UDR
"Quetta International Airport",Quetta,Pakistan,UET
"Ufa International Airport",Ufa,Russia,UFA
"Phu Cat Airport","Quy Nhon",Vietnam,UIH
"Quincy Regional Airport",Quincy,"United States",UIN
"Mariscal Sucre International Airport",Quito,Ecuador,UIO
"Chinggis Khaan International Airport",Ulaanbaatar,Mongolia,ULN
"Umea Airport",Umea,Sweden,UME
"Sultan Hasanuddin International Airport",Makassar,Indonesia,UPG
"Urumqi Diwopu International Airport",Urumqi,China,URC
"Malvinas Argentinas Airport",Ushuaia,Argentina,USH
"Koh Samui Airport","Koh Samui",Thailand,USM
"Ulsan Airport",Ulsan,"South Korea",USN
"Francisco B. Reyes Airport",Busuanga,Philippines,USU
"Udon Thani International Airport","Udon Thani",Thailand,UTH
"U-Tapao International Airport",Pattaya,Thailand,UTP
"Yuzhno-Sakhalinsk Airport",Yuzhno-Sakhalinsk,Russia,UUS
"Hewanorra International Airport","Vieux Fort","Saint Lucia",UVF
"Vaasa Airport",Vaasa,Finland,VAA
"Ferit Melen Airport",Van,Turkey,VAN
"Varna Airport",Varna,Bulgaria,VAR
"Visby Airport",Visby,Sweden,VBY
"Can Tho International Airport","Can Tho",Vietnam,VCA
"Venice Marco Polo Airport",Venice,Italy,VCE
"Viracopos International Airport",Campinas,Brazil,VCP
"Van Don International Airport","Quang Ninh",Vietnam,VDO
"Vernal Regional Airport",Vernal,"United States",VEL
"General Heriberto Jara International Airport",Veracruz,Mexico,VER
"Victoria Falls International Airport","Victoria Falls",Zimbabwe,VFA
"Vigo Airport",Vigo,Spain,VGO
"Vienna International Airport",Vienna,Austria,VIE
"Vinh Airport",Vinh,Vietnam,VII
"Eurico de Aguiar Salles Airport",Vitoria,Brazil,VIX
"Vnukovo International Airport",Moscow,Russia,VKO
"Valencia Airport",Valencia,Spain,VLC
"Valdosta Regional Airport",Valdosta,"United States",VLD
"Bauerfield International Airport","Port Vila",Vanuatu,VLI
"Arturo Michelena International Airport",Valencia,Venezuela,VLN
"Vilnius Airport",Vilnius,Lithuania,VNO
"Lal Bahadur Shastri International Airport",Varanasi,India,VNS
"Volgograd International Airport",Volgograd,Russia,VOG
"Destin-Fort Walton Beach Airport",Valparaiso,"United States",VPS
"Juan Gualberto Gomez International Airport",Varadero,Cuba,VRA
"Verona Villafranca Airport",Verona,Italy,VRN
"Carlos Rovirosa Perez International Airport",Villahermosa,Mexico,VSA
"Wattay International Airport",Vientiane,Laos,VTE
"Visakhapatnam Airport",Visakhapatnam,India,VTZ
"Viru Viru International Airport","Santa Cruz",Bolivia,VVI
"Vladivostok International Airport",Vladivostok,Russia,VVO
"Warsaw Chopin Airport",Warsaw,Poland,WAW
"Hosea Kutako International Airport",Windhoek,Namibia,WDH
"Wagga Wagga Airport","Wagga Wagga",Australia,WGA
"Whakatane Airport",Whakatane,"New Zealand",WHK
"Wakkanai Airport",Wakkanai,Japan,WKJ
"Wellington International Airport",Wellington,"New Zealand",WLG
"Wenzhou Longwan International Airport",Wenzhou,China,WNZ
"Whangarei Airport",Whangarei,"New Zealand",WRE
"Wrangell Airport",Wrangell,"United States",WRG
"Copernicus Airport Wroclaw",Wroclaw,Poland,WRO
"Wuhan Tianhe International Airport",Wuhan,China,WUH
"Yellowstone Airport","West Yellowstone","United States",WYS
"Xi'an Xianyang International Airport",Xi'an,China,XIY
"Xiamen Gaoqi International Airport",Xiamen,China,XMN
"Northwest Arkansas National Airport",Fayetteville/Springdale,"United States",XNA
"Xining Caojiabao Airport",Xining,China,XNN
"Jerez Airport","Jerez de la Frontera",Spain,XRY
"Yakutat Airport",Yakutat,"United States",YAK
"Sault Ste. Marie Airport","Sault Ste. Marie",Canada,YAM
"Yap International Airport",Yap,Micronesia,YAP
"Deer Lake Regional Airport","Deer Lake",Canada,YDF
"Edmonton International Airport",Edmonton,Canada,YEG
"Iqaluit Airport",Iqaluit,Canada,YFB
"Fredericton International Airport",Fredericton,Canada,YFC
"Miho Yonago Airport",Yonago,Japan,YGJ
"Kingston Norman Rogers Airport",Kingston,Canada,YGK
"John C. Munro Hamilton International Airport",Hamilton,Canada,YHM
"Halifax Stanfield International Airport",Halifax,Canada,YHZ
"Kamloops Airport",Kamloops,Canada,YKA
"Region of Waterloo International Airport",Kitchener,Canada,YKF
"Yakima Air Terminal",Yakima,"United States",YKM
"Yakutsk Airport",Yakutsk,Russia,YKS
"Kelowna International Airport",Kelowna,Canada,YLW
"Fort McMurray Airport","Fort McMurray",Canada,YMM
"Prince Abdul Mohsin bin Abdulaziz Airport",Yanbu,"Saudi Arabia",YNB
"Youngstown-Warren Regional Airport",Youngstown,"United States",YNG
"Yantai Penglai International Airport",Yantai,China,YNT
"Ottawa Macdonald-Cartier International Airport",Ottawa,Canada,YOW
"Prince Rupert Airport","Prince Rupert",Canada,YPR
"Quebec City Jean Lesage International Airport","Quebec City",Canada,YQB
"Windsor International Airport",Windsor,Canada,YQG
"Greater Moncton Romeo LeBlanc International Airport",Moncton,Canada,YQM
"Regina International Airport",Regina,Canada,YQR
"Thunder Bay International Airport","Thunder Bay",Canada,YQT
"Gander International Airport",Gander,Canada,YQX
"Sydney/J.A. Douglas McCurdy Airport",Sydney,Canada,YQY
"Sudbury Airport",Sudbury,Canada,YSB
"Saint John Airport","Saint John",Canada,YSJ
"Timmins Victor M. Power Airport",Timmins,Canada,YTS
"Montreal-Pierre Elliott Trudeau International Airport",Montreal,Canada,YUL
"Yuma International Airport",Yuma,"United States",YUM
"Vancouver International Airport",Vancouver,Canada,YVR
"Winnipeg James Armstrong Richardson International Airport",Winnipeg,Canada,YWG
"Cranbrook Canadian Rockies International Airport",Cranbrook,Canada,YXC
"Saskatoon John G. Diefenbaker International Airport",Saskatoon,Canada,YXE
"Prince George Airport","Prince George",Canada,YXS
"London International Airport",London,Canada,YXU
"Erik Nielsen Whitehorse International Airport",Whitehorse,Canada,YXY
"Calgary International Airport",Calgary,Canada,YYC
"Victoria International Airport",Victoria,Canada,YYJ
"St. John's International Airport","St. John's",Canada,YYT
"Toronto Pearson International Airport",Toronto,Canada,YYZ
"Yellowknife Airport",Yellowknife,Canada,YZF
"Zadar Airport",Zadar,Croatia,ZAD
"Zagreb Airport",Zagreb,Croatia,ZAG
"Zamboanga International Airport",Zamboanga,Philippines,ZAM
"Zaragoza Airport",Zaragoza,Spain,ZAZ
"General Leobardo C. Ruiz International Airport",Zacatecas,Mexico,ZCL
"La Araucania Airport",Temuco,Chile,ZCO
"Ixtapa-Zihuatanejo International Airport",Ixtapa,Mexico,ZIH
"Abeid Amani Karume International Airport",Zanzibar,Tanzania,ZNZ
"Queenstown Airport",Queenstown,"New Zealand",ZQN
"Zurich Airport",Zurich,Switzerland,ZRH
"Zakynthos International Airport",Zakynthos,Greece,ZTH
"Zhuhai Jinwan Airport",Zhuhai,China,ZUH
"Osmani International Airport",Sylhet,Bangladesh,ZYL
